,T10,T50,T90,N+A,C5NP,C5IP,C5N,C6NP,C6IP,C6N,C6A,C7NP,C7IP,C7N,C7A,C8NP,C8IP,C8N,C8A,C9NP,C9IP,C9N,C9A,C10NP,C10IP,C10N,C10A
2959,101.5,118.7,143,42.065,0.64,0.401,0.12,3.392,1.7559999999999998,3.672,0.716,8.047,6.297,10.957,3.311,8.535,8.722,7.968,5.764,5.107,8.681000000000001,5.606,3.061,0.972,4.473,0.5730000000000001,0.317
2960,101,118.8,144,42.3,0.646,0.41100000000000003,0.122,3.356,1.732,3.676,0.83,8.021,6.203,10.96,3.3,8.552,8.665,7.965,5.953,5.138,8.693999999999999,5.594,3.053,0.9600000000000001,4.504000000000001,0.527,0.32
2961,99.1,117.7,144.2,44.394000000000005,0.745,0.49,0.133,3.228,1.707,3.649,3.293,7.673,5.89,10.785,3.472,8.241,8.27,7.783,5.941,4.937,8.332,5.471,3.019,0.914,4.48,0.533,0.315
2962,98.4,117.3,143.9,44.522000000000006,0.819,0.539,0.142,3.251,1.763,3.735,3.572,7.62,5.877000000000001,10.908,3.432,8.178,8.196,7.798,5.918,4.877,8.211,5.225,2.977,0.903,4.246,0.506,0.309
2963,97.6,117.2,145,44.436,0.989,0.623,0.15,3.328,1.877,4.381,2.393,7.614,6.325,11.806,3.405,7.825,8.199,7.805,5.57,4.615,8.34,5.16,2.831,0.885,4.363,0.567,0.368
2964,99.4,117.4,144,43.473000000000006,0.7899999999999999,0.504,0.134,3.325,1.769,4.012,1.321,7.882,6.249,11.352,3.319,8.278,8.438,7.879,5.732,4.947,8.471,5.548,3.015,0.921,4.584999999999999,0.501,0.66
2965,100,118,144.5,43.155,0.7719999999999999,0.497,0.136,3.298,1.764,3.977,1.003,7.854,6.131,11.441,3.301,8.384,8.444,8.001,5.815,5.02,8.487,5.604,3.037,0.932,4.388999999999999,0.53,0.31
2966,86.6,106,142.7,55.842,3.138,1.8299999999999998,0.352,2.66,2.719,8.696,0.887,5.075,7.244,20.584,3.983,3.564,4.987,8.255,4.01,1.644,6.178,5.181,1.697,0.357,3.527,0.9909999999999999,1.206
2967,87.1,106.8,143.5,55.42999999999999,3.0199999999999996,1.763,0.343,2.723,2.6910000000000003,8.514,0.872,5.242,7.2669999999999995,20.2,3.95,3.761,5.172,8.139,4.061,1.797,6.078,5.494,1.745,0.38,3.537,0.971,1.141
2968,87,108.2,148.1,52.623999999999995,3.177,1.827,0.347,3.093,2.912,7.829,0.839,5.57,7.163,18.572,3.677,4.268,5.559,7.885,4.065,2.193,6.414,5.401,1.877,0.5,3.66,0.945,1.187
2969,84.9,108.8,146.1,49.98700000000001,3.5220000000000002,1.988,0.366,3.515,3.256,7.207,0.811,5.744,6.986000000000001,17.053,3.352,4.635,6.165,7.687,3.999,2.493,6.231,5.316,1.993,0.638,3.8249999999999997,0.9500000000000002,1.2530000000000001
2970,89.5,112.2,146.8,51.141999999999996,2.667,1.543,0.335,3.204,3.033,6.597,0.669,5.172,5.696,16.756,3.333,5.527,5.946,9.136,4.991,2.931,7.222,5.208,2.383,0.828,4.354,0.89,0.844
2971,87.7,108.7,145.8,54.185,2.867,1.67,0.335,2.863,2.757,7.926,0.812,5.298,6.864,19.117,3.777,4.313,5.446,8.363,4.335,2.16,6.347,5.61,1.935,0.496,3.668,0.9380000000000002,1.0370000000000001
2972,93.9,114.2,144,52.2771,1.917,1.148,0.291,2.944,2.69,6.168,0.58,5.136,5.14,16.425,3.401,6.212,6.356,9.696,5.634,3.314,7.019,6.1561,2.635,0.877,4.404999999999999,0.766,0.525
2973,94.3,114.4,142.9,50.666,1.817,1.093,0.281,2.949,2.629,6.055,0.571,5.269,5.177,16.179,3.396,6.333,6.37,11.19,5.655,3.403,8.128,3.358,2.665,0.877,4.433,0.771,0.545
2974,94.9,115.1,148.9,52.766,1.91,1.137,0.284,2.993,2.655,6.12,0.592,5.364,5.377,16.172,3.397,6.208,4.58,11.241,5.517,3.349,7.744,5.436,2.615,0.856,4.446,0.791,0.6010000000000001
2975,94.9,114.1,141.8,52.900999999999996,1.81,1.0889999999999997,0.28,2.955,2.624,6.026,0.574,5.296,5.1979999999999995,16.087,3.397,6.347,4.569999999999999,11.473,5.662,3.421,7.807,5.485,2.678,0.878,4.531000000000001,0.775,0.4640000000000001
2976,93.9,113.4,141.1,52.364,1.806,1.093,0.29,2.854,2.661,6.227,0.574,4.951,4.976,16.701,3.438,6.187,6.255,9.931,5.735,3.269,7.604,5.568,2.666,0.885,4.5200000000000005,0.788,0.44600000000000006
2977,94.6,113.9,147.1,50.638,1.6949999999999998,1.025,0.269,2.947,2.556,5.912,0.562,5.407,5.202999999999999,15.862,3.399,6.477,6.629,9.522,5.717,3.515,7.917000000000001,5.485,2.715,0.879,4.553,0.759,0.43600000000000005
2978,94.8,114.3,140.8,49.924,1.541,0.93,0.247,3.016,2.442,5.628,0.551,5.823,5.42,15.151,3.369,6.74,6.949,9.16,5.702,3.743,7.431,6.194,2.766,0.879,4.5809999999999995,0.738,0.41800000000000004
2979,94.2,114.6,143.5,49.918000000000006,1.811,1.0709999999999997,0.266,3.082,2.558,5.705,0.55,5.741,5.458,15.249,3.316,6.554,6.797,9.103,5.547,3.631,7.272,6.197,2.707,0.885,4.595,0.767,0.511
2980,92.1,113.5,143.1,50.185,2.378,1.371,0.306,3.18,2.7979999999999996,5.928,0.549,5.479,5.455,15.624,3.227,6.154,6.444,9.131,5.266,3.369,6.97,6.089,2.583,0.897,4.62,0.8150000000000001,0.667
2981,93,114.6,145,49.647000000000006,2.085,1.198,0.287,3.196,2.711,5.751,0.541,5.681,5.595000000000001,15.33,3.226,6.288,6.653,9.028,5.268,3.484,7.1739999999999995,6.096,2.627,0.913,4.680999999999999,0.8150000000000001,0.678
2982,92.9,114.8,146.2,49.016999999999996,2.168,1.2300000000000002,0.279,3.323,2.795,5.563,0.55,5.688,5.829,14.948,3.253,6.18,6.824,9,5.092,3.387,7.2700000000000005,6.08,2.584,0.95,4.634,0.8350000000000001,0.8330000000000001
2983,93.5,114.8,145.5,47.971000000000004,1.954,1.091,0.251,3.414,2.787,5.238,0.555,5.751,6.1000000000000005,14.401,3.311,6.17,7.122,9.067,4.971,3.355,7.698,5.785,2.603,1.0019999999999998,4.781,0.8540000000000001,0.935
2984,93.9,114.6,146.3,47.839,1.896,1.057,0.245,3.447,2.7689999999999997,5.155,0.557,5.87,6.191,14.204,3.317,6.238,7.246,8.994,4.963,3.408,7.556,6.052,2.614,1.004,4.769,0.8380000000000001,0.9
2985,94.4,115.4,147.7,46.787000000000006,1.684,0.9189999999999999,0.219,3.546,2.757,4.863,0.565,6.003,6.478,13.672,3.366,6.264,7.561,8.946,4.855,3.407,8.062,5.761,2.672,1.041,4.848999999999999,0.8460000000000001,1.022
2986,93.6,114.7,145.9,46.608000000000004,1.6310000000000002,0.8829999999999999,0.211,3.581,2.7739999999999996,4.753,0.567,5.971,6.569,13.52,3.391,6.223,7.648,9.003,4.807,3.361,8.124,5.77,2.667,1.067,4.9030000000000005,0.8380000000000001,1.081
2987,94.6,115,142.9,46.513000000000005,1.613,0.903,0.23,3.415,2.8160000000000003,4.876,0.552,5.526,5.920999999999999,14.109,3.396,6.303,7.329,8.508,5.17,3.366,8.654,5.209,2.701,1.099,4.886,0.8370000000000001,0.925
2988,94.3,115.4,145.7,47.724000000000004,1.6480000000000001,0.917,0.227,3.45,2.7779999999999996,4.874,0.553,5.727,6.077,13.932,3.37,6.338,7.398,9.268,5.092,3.423,7.725,6.109,2.686,1.0719999999999998,5.018,0.8360000000000001,0.7770000000000001
2989,94.3,114.8,145.5,46.457,1.7559999999999998,0.964,0.221,3.552,2.718,4.844,0.562,6.166,6.461,13.489,3.327,6.393,7.585999999999999,8.766,4.899,3.527,7.913,5.897,2.691,1.027,4.828,0.8160000000000001,0.945
2990,94.7,115,144.5,49.041999999999994,1.656,0.9450000000000001,0.243,3.33,2.819,4.962,0.543,5.375,5.588,14.36,3.373,6.384,7.164,9.647,5.363,3.418,7.5200000000000005,6.29,2.741,1.097,4.9910000000000005,0.8300000000000001,0.6900000000000001
2991,95.5,115.6,143.1,48.47200000000001,1.58,0.905,0.234,3.33,2.738,4.874,0.537,5.583,5.646,14.112,3.366,6.544,7.305000000000001,9.49,5.401,3.549,7.7219999999999995,5.95,2.799,1.0809999999999997,4.940000000000001,0.917,0.792
2992,95.8,116.6,145.3,47.679,1.536,0.878,0.224,3.348,2.6479999999999997,4.78,0.533,5.855,5.79,13.765,3.344,6.679,7.444,9.247,5.377,3.681,7.803,5.936,2.813,1.0579999999999998,4.965999999999999,0.908,0.752
2993,87.6,107.5,143.1,54.936,2.747,1.612,0.303,3.066,2.735,9.025,0.776,5.404,7.414,18.95,3.51,4.362,4.77,9.732,3.99,2.142,5.846,5.03,1.915,0.59,3.5369999999999995,0.907,0.7979999999999999
2994,87.2,106.8,144.6,54.12899999999999,2.66,1.567,0.302,3.056,2.731,9.179,0.782,5.395,7.502,19.208,3.525,4.27,5.367,8.681,3.932,2.077,6.196000000000001,5.022,1.881,0.577,3.6100000000000003,0.913,0.704
2995,89.5,111.2,144.2,52.623,2.633,1.531,0.323,3.133,2.939,7.17,0.638,5.031,5.8580000000000005,17.178,3.333,5.342,5.859,9.275,4.063,2.769,6.375,6.556,2.355,0.822,4.313,0.926,0.806
2996,91.6,112.9,145.7,51.025000000000006,2.269,1.3190000000000002,0.289,3.188,2.8129999999999997,6.483,0.61,5.344,5.8999999999999995,16.145,3.346,5.764,6.378,9.193,4.155,3.062,6.849,6.646,2.49,0.898,4.485,0.914,0.7540000000000001
2997,100.4,118.7,145.2,43.016,0.7210000000000001,0.47000000000000003,0.134,3.265,1.732,3.886,0.694,7.858,6.018,11.387,3.266,8.501,8.474,8.115,5.895,5.103,8.548,5.695,3.113,0.9400000000000001,4.681000000000001,0.519,0.312
